1,8,0,0,100,4/12/0824 11:21:57 AM
2,8,0,0,-2,4/12/0824 11:22:02 AM
3,8,0,0,100,4/12/0824 11:28:40 AM
4,8,0,0,1,4/12/0824 11:32:58 AM
5,8,0,0,100,4/12/0824 11:33:34 AM
6,8,0,0,100,4/12/0824 11:37:23 AM
7,8,0,-1,1000,4/12/0824 11:37:41 AM
8,8,0,0,500,4/12/0824 11:42:22 AM
9,8,0,0,100,4/12/0824 11:42:54 AM
10,8,0,0,100,4/12/0824 11:44:21 AM
11,8,0,-1,50,4/12/0824 11:44:27 AM
12,8,0,0,199,4/12/0824 12:08:31 PM
13,8,0,0,100,4/12/0824 12:08:36 PM
14,8,0,-1,300,4/12/0824 12:08:53 PM
15,8,0,0,100,4/12/0824 12:19:00 PM
16,8,0,0,40,4/12/0824 12:23:30 PM
17,8,1,-2,10,4/13/0824 10:57:42 AM
18,8,1,-2,10,4/13/0824 10:57:56 AM
19,8,0,-2,8,4/13/0824 10:58:08 AM
8,8,0,-2,30,4/13/0824 11:00:11 AM
21,8,1,-2,50,4/13/0824 11:00:24 AM
22,8,1,-2,8,4/13/0824 11:02:56 AM
23,8,1,-2,50,4/13/0824 11:03:12 AM
24,8,0,-2,40,4/13/0824 11:03:23 AM
25,8,0,-2,100,4/13/0824 11:03:33 AM
26,8,1,-2,1000,4/13/0824 11:07:18 AM
27,8,0,0,1000,4/13/0824 11:12:30 AM
28,8,1,-2,100,4/13/0824 11:12:58 AM
29,8,1,-2,169,4/13/0824 11:16:05 AM
30,8,1,-2,19,4/13/0824 3:32:36 PM
31,8,0,0,10,4/17/2024 2:32:26 PM
32,8,0,0,100,4/17/2024 2:32:58 PM
33,8,0,-1,100,4/17/2024 3:48:13 PM
34,8,0,0,100,4/18/2024 10:43:29 PM
35,8,1,-2,1,4/22/2024 12:45:22 PM
36,8,1,-2,1,4/22/2024 12:45:31 PM
37,8,1,-2,40,4/22/2024 12:47:12 PM
38,8,1,-2,2,4/22/2024 1:11:37 PM
39,9,0,0,100,4/22/2024 1:30:09 PM
40,9,1,-2,10,4/22/2024 1:30:19 PM
41,9,1,-2,40,4/22/2024 1:31:03 PM
